Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Belize,43.18,43.95,45.85,47.86,48.31,49.68,52.65,53.72,54.49,56.96,59.23,59.91,61.46,62.02,63.84,66.1,66.22,67.33,68.98,70.68,72.5,72.82,73.73,75.27,76.08,77.28,84.22,86.19,87.63,94.49,100,106.22,106.62,104.18,100.93,106.19,106.9,109.16,114.88,112.65,118.8,124.47,126.02,120.81,119.31,121.55,127.15,130.06,136.99,141.62,145.25,149.04,159.73,154.52
Costa Rica,65.29,66.59,68.09,69.39,70.64,71.52,72.5,74.13,75.48,76.28,78,78.15,80.05,80.92,82.69,84.06,86.04,89.05,91.01,92.4,95.35,94.5,97.36,98.77,97.64,97.65,98.57,99.72,99.99,101.52,100,101.06,100.24,104.17,100.9,102.56,103.81,104.89,103.4,102.55,100.1,100.55,100.14,98.68,99.81,101.59,105.27,105.1,105.77,107.7,109.97,108.55,108.56,110.52
El Salvador,68.78,70,72.46,73.92,73.36,74.41,75.9,76.91,78.9,79.63,82.73,84.7,85.37,87.09,88.01,89.15,92.91,97.05,98.79,97.02,93.06,89.26,89.24,88.14,91.83,93.02,94.72,96.51,97.42,98.72,100,105.29,104.38,104.87,103.95,106.44,104.59,101.86,103.61,107.51,110.46,111.53,110.71,112.83,113.01,112.55,113.77,116.04,112.53,110.82,107.57,110.87,105.51,108.66
Guatemala,60.82,62.34,63.97,65.11,65.57,67.85,68.28,70.89,71,72.88,73.85,76.44,78.94,80.24,80.47,80.46,84.25,85.5,86.63,89.27,89.42,88.82,91.4,91.31,91.71,92.21,93.3,94.76,96.68,98.02,100,104.42,106.78,106.45,107.23,107.64,109.59,112.27,113.29,115.2,119.7,122.88,128.81,131.17,131.55,137.58,142.43,141.63,142.61,147.11,147.65,145.49,146.52,147.91
Honduras,49.71,50.46,51.1,52.43,53.74,54.23,59.01,61.06,62.53,64.09,66.31,68.88,70.65,72.53,74.1,75.65,78.38,80.29,80.68,82.1,83.04,84.34,89.8,91.62,92.07,93.16,95.28,95.51,96.56,98.79,100,100.69,103.09,105.87,102.32,106.13,107.83,105.59,102.94,96.35,98.75,106.73,112.54,111.81,114.22,111.02,112.12,108.73,113.9,116.5,116.87,118.09,119.62,117.65
Mexico,48.73,49.17,50.15,51.11,52.27,53.39,54,55.1,55.9,55.33,55.96,57.04,58.22,59.58,61.49,62.15,63.41,64.58,65.57,67.51,73.78,74.75,76.45,77.45,81.65,85.36,88.42,90.92,95.58,99.01,100,100.75,101.69,100.68,98.65,101.21,100.53,102.47,101.29,101.44,102.45,101.41,101.78,101.66,100.43,100.85,100.63,101.21,101.53,102.78,101.47,101.75,102.11,101.82
Nicaragua,49.85,50.68,53.84,54.81,58.34,59.36,61.35,62.95,64.45,65.79,66.72,66.96,70.99,73.22,76.56,82.07,86.81,89.06,86.59,87.42,89.55,91.96,91.7,95.32,97.11,94.63,92.43,96.42,100.21,104.37,100,103.39,104.59,103.67,106.79,108.93,113.59,115.9,122.05,125.25,123.24,127.34,132.71,131.21,129.94,133.62,135.79,130.91,128.51,129.31,127.9,130.74,129.24,129.2
Panama,63.29,66.76,69.47,71.61,74.1,74.66,76.14,78.35,79.82,79.69,82.25,83.98,86.51,89.06,89.86,91,92.11,92.98,94.88,95.33,96.89,97.21,98.1,98.41,98.53,98.75,100.3,100.25,101.06,101.22,100,104.8,105.66,110.72,112.48,115.75,115.34,119.35,121.44,125.6,130.46,135.89,136.06,134.24,135.17,130.93,133.6,130.54,133.08,137.76,138.6,138.45,139.93,137.56
Bolivia,47.68,48.57,49.67,50.64,52.09,53.1,55.27,55.78,57.69,57.9,61.01,62.74,64.66,66.74,67.53,68.94,70.81,73.23,74.19,75.49,85.03,77.49,89.11,86.33,89.95,92.47,93.21,90.56,100.61,92.75,100,107.2,107.44,108.03,105.92,111.46,122.12,112.24,103.83,123.74,140.78,147.65,148.87,163.73,182.84,171.22,196.25,191.57,195.73,213.17,221.48,225.14,241.41,240.17
Colombia,67.32,67.48,68.72,69.98,70.3,71.22,72.03,72.82,73.53,74.85,76.97,78.57,80.09,81.28,82.16,83.75,85.71,86.86,88.21,89.57,89.89,91.56,92.69,94.32,94.41,96.73,99.55,99.17,97.93,100.04,100,98.9,98.53,98.45,96.38,95.36,97.07,98.02,98.79,101.78,100.57,100.74,102.92,103.4,105.04,105.06,106.88,102.95,102.64,105.24,107.23,108.02,106.48,110.72
Ecuador,59.76,61.25,62.92,62.56,64.78,66.69,68.96,70.38,70.73,71.16,70.56,72.61,74.08,75.23,75.38,76.96,78.27,78.2,78.91,79.15,81.45,80.91,81.66,84.33,86.44,87.94,88.5,93.44,94.71,94.7,100,103.13,103.05,113.16,113.53,117.22,123.82,124.94,125.01,124.73,135.39,134.21,137.78,143.16,129.58,143.05,142.08,140.41,139.3,150.08,153.57,147.11,152.73,158.41
Peru,64.8,67.19,69.65,71.94,73.42,73.12,74.44,75.44,77.41,79.14,80.74,83.09,84.36,85.87,86.6,88.96,90.23,90.71,91.83,91.89,94.66,93.55,88.96,91.37,93.77,108.11,113.53,114.66,108.36,103,100,100.97,108.14,114.81,117.24,121.21,123.86,133.46,135.21,138.03,144.72,145.75,146.16,146.99,154.64,160.22,160.74,155.7,159.73,164.37,169.68,170.79,176.14,177.95
Venezuela,64.48,64.92,66.31,68.19,69.31,69.73,70.82,72.14,72.31,74.07,75.15,75.27,76.96,77.86,79.68,80.56,81.99,83.07,82.94,83.63,79.57,82.35,81.51,90.37,97.23,100.92,105.8,109.25,104.94,99.82,100,99.36,98.96,95.03,99.11,99.84,98.43,96.71,94.16,98.15,99.89,100.27,101.15,103.37,104.1,101.6,108.87,106.16,104.51,106.71,109.14,111.49,108.18,108.48
Brazil,54.6,57.08,60.04,61.41,63.34,64.99,67.44,70.38,72.07,74.97,77.65,80.47,81.95,84.64,88.05,90.94,93.38,94.91,97.55,100.3,96.29,96.92,93.34,99.2,98.51,101.76,102.21,101.09,99.73,97.76,100,103.14,105.77,108.54,108.75,108.78,110.37,110.55,110.76,114.52,113.56,115.27,124.33,126.88,120.09,120.18,125.08,122.7,119.4,122.86,127.45,129.73,132.42,133.86
French Guiana (France),32.34,35.32,32.64,31.17,31.4,30.9,31.14,31.43,33.57,29.84,34.71,35.22,34.97,34.84,38.76,38.8,41.3,48.57,49.71,51.21,53.93,60.49,65.13,69.62,68.52,79.56,80.75,86.72,97.57,101.22,100,101.05,100.43,100.39,100.8,108.25,112.05,112.31,109.75,115.95,111.29,136.37,132.28,125.02,125.85,118.42,108.5,96.54,100.86,104.89,101.89,102.76,106.65,97.51
Guyana,86.05,88.17,88.38,92.07,95.29,95.69,94.79,95.63,95.08,95.51,95.97,96.61,97.47,98.79,99.92,101.58,104.56,106.15,104.68,106.69,108.97,105.37,101.54,101.07,96.83,100.67,100.51,99.94,97.62,96.88,100,100.49,102.21,103.1,106.76,110.22,113.69,112.87,111.75,109.68,107.64,127.85,135.14,123.44,112.74,100.24,101.66,94.35,104.79,109.42,108.08,108.75,116.67,120.71
Suriname,57.7,58.57,59.57,63.54,63.96,67.04,67.97,68.25,72.72,74.03,75.3,75.48,76.05,76.17,76.47,77.07,77.21,79.33,80.79,83.62,88.53,88.76,90.14,92.46,92.86,96.48,96.92,98.77,100.08,100.75,100,100.59,97.48,92.39,91.51,94.77,96.83,96.01,97.2,96.03,97.21,108.39,116.69,108.63,99.96,88.44,91,84.26,100.96,103.49,104.08,100.85,107.43,108.07
Argentina,78.63,78.31,79.08,80.56,82.66,85.01,86.23,88.02,89.76,89.42,89.9,90.38,90.44,90.27,90.17,90.16,90.27,89.62,89.76,88.59,87.52,91.08,92.84,97.09,97.66,97.61,100.27,100.25,99.34,100.39,100,106.97,110.74,117.07,117.53,122.79,123.73,122.99,123.93,123.4,126.34,124.21,130.88,139.31,136.87,144,153.71,139.51,134.59,147.35,152.46,147.19,149.14,149.88
Chile,73.71,73.77,74.23,74.49,74.62,75.49,75.69,75.73,75.54,75.89,76.59,77.8,79.07,80.88,79.63,80.14,80.01,80.55,81.02,81.64,81.22,79.65,82.43,86.11,88.56,93.17,95.27,97.26,98.37,96.44,100,102.95,106.18,108.29,108.18,109.3,114.3,116.09,117.86,116.72,115.75,117.02,118.26,123.39,121.93,120.62,122.82,116.84,115.44,113.42,114.55,114.71,113.18,112.49
Paraguay,38.33,39.02,39.94,41.9,43,43.97,44.65,45.23,45.97,48.12,47.65,48.19,48.08,50.15,52.03,54.76,57.6,61.41,64.95,67.63,73.34,74.48,78.29,80.71,84.7,87.4,93.21,89.21,101.44,100.85,100,105.04,108.14,112.11,116.87,122.11,133.02,139.76,147.58,150.45,164.95,170.9,189.41,202.82,196.1,204.68,223.86,208.23,206.39,230.38,248.78,232.58,256.04,269.68
Uruguay,116.73,115.96,115.51,115.49,113.6,113.16,111.71,111.59,109.89,106.85,107.15,106.19,104.66,103.16,103.37,102.38,101.06,99.67,100.27,99.97,98.68,96.99,91.16,93.02,95.73,95.02,96.57,97.66,96.91,95.87,100,102.71,104.29,101.58,102.62,113.82,111.1,111.53,108.91,111.36,113.47,109.83,119.52,119.76,121.24,120.64,128.31,125.7,133.7,131.76,136.2,148.29,148.54,141.84
Canada,66.1,70.35,74.14,75.07,79.62,83.8,83.6,79.99,82.85,84.9,87.14,87.87,92.74,93.33,96.42,96.21,101.93,106.04,109.35,110.47,111.63,110.37,114.57,112.36,115.36,111.05,110.88,105.4,105.32,101.15,100,98.92,104.1,102.21,103.16,104.25,103.4,103.45,103.08,100.33,99.39,100.09,102.74,97.47,95.09,98.61,104.01,97.53,96.33,97.32,97.57,99.55,99.53,100.71
United States ,86.8,87.56,88.83,88.85,91.99,93.14,93.69,95.21,96.53,96.94,98.22,99.36,100.12,94.48,99.13,100.41,99.99,104.05,104.97,104.22,102.46,99.94,102.41,102.58,100.2,100.44,100.93,97.6,99.6,100.47,100,100.86,101.42,101.09,99.78,101.32,100.3,99.3,99.43,98.61,99.48,97.81,100.78,99.55,97.52,98.01,95.86,89.43,92.67,92.63,91.96,92.53,92.4,91.34
Japan,95.27,99.06,102.22,104.61,106.06,109.92,111.06,110.93,110.63,109.84,107.91,109.13,111.61,111.6,108.79,110.71,111.68,111.21,110.17,107.43,106.53,107.56,108.89,108.89,108.85,108.56,107.81,106.59,105.28,103.63,100,98.71,97.15,94.42,92.06,89.15,87.25,84.2,82.38,79.56,76.99,75.04,73.17,71.04,69.54,67.95,65.5,61.85,60.23,59.37,56.74,55.13,55.61,53.13
"Korea, Republic ",62.48,62.25,64.84,68.85,69.1,72.05,74.24,75.27,78.35,80.34,82.14,84.51,86.15,87.28,90.01,89.65,92.53,96.08,100.16,97.3,98.73,96.49,100.1,99.31,100.52,101.47,103.48,102.5,103.38,99.47,100,100.45,99.55,97.62,99.32,97.5,96.09,92.77,91.85,91.12,89.19,88.61,86.75,86.28,85.57,81.5,82,79.67,77.29,76.53,74.34,74.84,73.66,72.1
Singapore,544.19,534.36,580.84,590.21,622.65,689.63,778.21,821.6,817.01,741.66,827.85,802.09,840.02,705.8,639.88,657.61,715.03,666.17,643.36,544.23,599.05,615,573.69,533.25,435.77,374.7,344.56,239.92,176.4,157.39,100,93.83,81.77,80.78,89.24,94.27,102.82,94.94,104.27,105.72,111.18,123.54,135.26,147.8,149.79,154.13,149.6,147.96,149.14,154.86,171.96,192.28,199.59,115.16
Taiwan (China) ,90.74,90.21,87.47,90.62,92.37,94.88,97.12,99.32,96.45,96.27,96.27,97.31,97.64,96.68,100.43,100.27,100.16,100.84,101.41,100.82,100.85,99.67,101.19,101.02,100.68,102.54,102.6,102.66,103.21,99.9,100,97.9,97.42,95.84,96.35,95.32,91.99,89.14,87.69,86.13,83.95,83.29,83.13,80.88,78.51,77.8,77.59,73.95,74.15,75.23,73.89,72.44,71.96,72.87
China,41.23,42.48,44.34,46.75,49.25,52.16,53.47,54.75,56.43,57.9,60.13,61.92,64.66,65.12,66.82,67.67,69.31,69.34,71.19,72.79,73.81,75.85,78.35,79.31,79.2,80.93,84.82,87.03,89.72,97.94,100,100.11,98.04,99.91,102.72,103.81,105.03,105.94,108.24,109.65,110.92,113.49,113.11,114.33,115.73,116.13,115.88,116.77,117.17,118.07,116.72,116.66,114.9,111.28
"Korea, DPR",53.31,56.23,57.22,56.95,57.43,58.83,59.94,61.12,62.55,64.25,65.58,67.58,69.77,72.3,74.12,77.14,78.83,81.01,82.16,83.68,86.2,87.66,89.48,91.52,93.96,95.05,96.79,99.31,99.52,100.21,100,97.34,94.3,82.38,69.13,65.29,67.56,69.15,74.87,75.96,76.77,75.72,76.14,76.49,76.31,76.29,75.6,74.25,73.58,75.07,74.81,75.69,74.42,73.58
Mongolia,62.47,63.4,65.73,67.37,68.02,69.94,72.11,72.01,71.61,71.77,75.21,73.93,80.3,77.19,75.09,74.74,78.46,81.08,82.22,78.56,88.4,93.92,96.56,97.4,97.73,97.92,101.17,98.69,97.42,97.61,100,97.52,91.69,86.2,85.7,85.06,89.88,80.29,80.86,76.79,73.93,70.7,66.58,67.87,73.62,74.54,76.77,78.84,81.85,77.98,91.04,94.14,99.94,103.36
Brunei Darussalam,141.78,142.72,140.1,138.48,129.6,143.71,143.83,152.01,148.29,148.76,141.73,130.17,136.94,119.83,115.64,114.06,113.73,113.55,116.23,119.04,133.54,118.4,118.77,120.75,124.48,122.45,129.77,122.58,96.9,98.71,100,102.56,99.85,97.86,101.31,102.1,83.81,82.47,85.7,97.07,99.89,107.08,94.03,97.34,99.04,94.98,101.8,102.75,107.63,110.53,112.04,116.05,124.12,115.5
Cambodia,52.29,53.54,56.4,56.35,57.55,62.45,70.25,74.21,74.99,74.55,68.54,65.95,65.57,61.13,58.48,56.02,55.88,56.05,53.41,55.88,61.19,68.91,71.8,71.62,78.32,82.72,87.33,92.66,96.04,97.6,100,102.02,103.62,102.53,110.08,110.86,115.29,112.18,116.62,119.05,122.06,122.87,127.88,130.93,144.31,147.99,152.78,155.1,160.25,162.96,172.09,171.03,175.23,176.2
Indonesia,48.84,50.03,50.2,50.48,51.77,51.58,50.23,54.39,53.32,53.52,54.47,55.64,56.92,57.82,58.38,59.07,60.84,62.71,64.13,66.39,69.68,71.7,76.33,80.29,81.85,88.94,92.27,95.05,97.05,100.07,100,102.57,103.79,106.26,110.87,112.47,111.21,108.62,113.44,117.22,118.76,122.47,125.04,127.73,128.02,127.95,132.59,133.58,137.93,140.17,143.61,145.17,147.08,147.47
Laos,40.03,40.99,43.18,47.24,49.5,53.67,58.78,59.59,61.18,59.58,60.9,61.3,64.58,63.41,61.53,61.52,65.4,68.01,70.92,72.05,79,82.32,83.75,86.88,88.25,90.11,93.19,92.77,95.85,99.24,100,103.79,102.44,107.15,108.53,109.84,116.15,113.16,118.77,125.99,129.57,133.84,135.4,142.47,151.7,159.05,166.5,179.01,184.03,187.74,202.29,208.17,217.11,221.49
Malaysia,54.6,56.29,57.99,58.82,60.55,62.06,63.46,64.17,66.26,68.42,70.16,71.3,73.02,73.75,75.86,77.76,79.71,82.07,84.18,85.57,85.51,85.98,87.18,88.88,89.49,90.51,93.21,94.4,96.76,97.84,100,102.23,103.98,105.66,107.28,107.48,108.88,106.82,106.39,106.6,106.5,107.52,110.71,113.85,111.26,111.68,111.7,107.81,109.59,112.62,112.79,114.17,115.34,115.58
Myanmar,52.07,53.24,55.27,58.84,59.73,60.75,64.69,66.79,67.81,68.3,71.7,73.87,74.25,76.12,77.84,78.78,80.49,83.92,86.34,88.53,92.24,95.78,96.87,99.64,102.13,102.82,102.34,101.31,99.27,99.62,100,101.15,104.76,110.09,113.52,115.69,116.68,118.69,122.57,127.22,125.9,129.71,132.65,133.32,136.09,140.98,145.76,147.98,150.23,154.5,155.31,158.05,162.29,175.64
Philippines,54.05,56.12,56.57,57.93,60.36,62.21,63.3,66.35,68.33,69.57,71.46,73.09,76.33,77.04,76.67,76.97,79.08,82.25,83.79,85.7,86.83,88.57,89.99,89.12,90.09,93.87,95.54,97.67,99,100.56,100,101.76,103.9,105.55,107.97,110.16,113.35,113.52,113.47,114.4,117.08,118.41,119.9,121.76,119.94,121.6,123.77,125.57,127.03,125,126.33,128.88,129.64,130.88
Thailand,44.27,45.8,47.51,48.84,49.46,51.72,53.61,55.36,56.78,58.44,58.51,61.03,62.77,63.83,66.45,67.69,70.02,73.22,73.53,73.74,77.08,78.96,83.53,84.78,87.19,87.76,90.79,95.43,96.71,98.07,100,102.87,103.43,104.28,105.15,105.13,104.19,102.47,101.78,102.39,103.21,103.83,104.79,104.25,105.31,105.43,106.42,106.59,106.54,108.42,108.13,109.41,108.83,107.39
Timor Leste,49.33,49.76,51.76,53.08,54.28,57.09,59.07,61,62.94,65.94,67.93,69.45,74.62,73.12,70.13,69.39,69.67,69.77,67.51,63.73,68.24,71.54,73.22,74.54,76.24,77.86,81.16,80.64,83.72,91.83,100,102.03,104.88,109.31,110.77,111.26,111.22,103.48,100.03,103.87,110.66,114.06,116.86,121.88,132.36,136.07,137.14,139.34,143.85,141.76,141.99,147.17,151.03,148.27
Viet Nam,54.25,55.65,58.12,58.16,58.82,58.05,58.64,58.6,60.86,61.75,61.8,62.6,64.85,66.34,66.03,67.25,70.15,70.52,69.73,71.23,73.68,76.97,80.54,83.48,86.59,89.05,89.62,92.91,94.93,96.03,100,103.39,106.34,111.17,113.9,118.9,121.98,125.3,130.39,136.05,140.28,144.33,148.81,153.07,158.19,160.93,162.75,163.5,165.17,169.73,170.36,171.46,172.27,174.24
Fiji,42.49,47.23,48.71,49.93,50.25,50.95,53.77,55.45,56.63,57.17,59.16,60.22,61.8,64.64,66.02,68.42,70.59,72.12,75.11,77.12,79.86,80.83,82.83,86.15,90.47,93.86,94.53,95.26,98.21,101.55,100,103.56,104.6,107.02,109.56,110.12,111.76,106.36,105.04,106.06,108.81,107.33,105.62,109.35,108.98,109.12,108.32,110.48,108.42,110.39,109.91,109.96,107.01,108.66
Micronesia,70.27,76.74,81.28,81.32,84.51,88.19,89.1,92.28,94.65,98.27,98.53,98.96,99.4,100.91,99.03,96.78,99.22,100.16,100.43,101.34,108.47,106.83,107.3,113.5,113.84,120.74,122.26,125.14,124.99,126.3,100,101.2,101.13,111.3,144.81,130.23,133.29,123.96,122.83,121.16,123.64,125.09,141,149.57,144.56,145.34,139.98,139.53,143.46,141.67,145.82,145.72,141.63,143.08
New Caledonia (France),55.33,62.66,64.44,63.93,65.19,67.71,67.59,68.73,69.68,71.05,72.04,75.17,77.4,78.91,78.83,81.23,83.2,85.2,85.97,87.12,87.54,86.27,92.25,93.81,94.91,100.56,101.46,103.36,101.49,102.19,100,101.05,101.17,102.23,103.39,107.72,109.83,110.68,107.6,109.08,113.9,114.24,113.55,117.53,117.63,114.42,115.55,116.08,112.69,113.81,113.2,112.82,108.51,107.29
Papua New Guinea,46.28,51.94,53.34,55.46,55.93,57.11,59.53,61.96,64.27,66.48,68.83,70.75,72.27,74.96,75.43,77.06,78.5,79.95,81.31,81.81,84.12,84.12,85.37,88.33,89.76,93.85,95.45,97.56,99.35,100.67,100,102.4,104.69,108,112.15,114.3,116.47,118.57,119.61,120.56,125.28,125.42,125.02,128.77,131.76,133.79,135.37,145.76,147.27,149.14,151.62,153.26,149.73,148.81
Polynesia,69.15,78.45,80.67,82.38,82.9,83.66,84.22,85.67,87.59,88.18,90.93,90.42,91.12,93.36,94.49,98.23,98.93,100.11,101.12,102.73,107.43,106.64,102.41,104.5,107.2,110.29,113.61,113.63,106.36,105.12,100,103.05,105.06,107.43,106.16,106.44,105.62,105.32,104.78,103.36,103.51,101.74,98.85,100.51,100.16,100.81,99.8,99.67,96.91,94.77,94.79,94.64,91.82,91.22
Solomon Islands,36.38,40.74,43.91,45.63,48.02,46.41,49.7,53.25,55,57.68,60.23,61.66,63.16,66.4,67.76,72.33,74.96,76.57,78.59,81.61,84.13,83.99,84.84,86.07,86.95,89.89,74.3,89.76,95.2,96.24,100,107.17,109.67,112.44,116.08,106.62,117.2,117.9,125.37,124.73,130.32,132.89,133.36,133.81,140.63,144.03,149.5,153.47,157.28,165.07,170.09,172.22,168.93,171.94
Vanuatu,43.21,50.29,52.9,54.51,57.59,60.21,61.73,63.56,66.29,68.65,71.01,73.88,76.33,80.72,81.5,82.01,84.21,83.8,84.33,87.12,88.79,86.98,87.19,89.7,93.16,96.98,96.51,96.83,99.27,100.61,100,102.34,104.4,104.86,108.78,109.29,108.8,110.88,110.66,111.18,113.77,114.2,113.03,117.92,121.35,127.09,138.21,133.57,137.62,138.55,134.97,135.02,132.88,134.44
Afghanistan,95.64,95.93,97.45,98.99,100.38,102.85,108.41,110.57,111.35,112.03,112.78,111.97,111.87,116.16,119.22,121.79,122.13,122.43,121.05,119.85,116.21,115.62,112.2,108.99,104.5,99.67,99.97,96.61,96.69,96.7,100,103.49,109.04,110.28,110.93,110.97,113.82,116.7,118.27,116.47,125.58,135.2,133.89,140.59,147.61,168.96,177.23,160.64,166.89,169.6,170.96,175.58,178.25,180.79
Bangladesh,53.84,54.8,56.64,58.07,58.72,59.95,61.65,64.48,66.53,65.86,65.16,66.94,67.66,67.51,70.4,71.19,72.62,76.71,78.46,71.91,72.92,75.14,77.99,79.71,81.53,84.11,87.34,90.66,94.98,96.94,100,100.74,102.17,103.84,107.92,109.2,110.11,112.17,115.95,118.55,121.32,124.27,127.41,129.67,131.5,133.27,135.5,135.6,137.8,140.43,141.42,141.94,144.05,145.32
Bhutan,42.1,43.27,44.3,45.27,46.14,48.35,49.91,51.11,52.24,54.56,56.57,57.65,61.08,61.67,61.09,63.45,67.54,70.29,72.9,72.78,80.79,84.99,87.56,89.99,91.41,93.5,98.83,95.91,96.22,98.63,100,97.85,95.62,94.01,97.07,97.35,100.54,98.53,102.87,100.38,105.1,107.88,112.66,125.82,138.66,140.67,144.91,137.98,140.41,144.12,154.26,156.43,161.07,159.92
India,58.76,59.37,59.91,60.6,61,61.9,63.19,64.06,64.5,65.65,67.44,68.16,69.17,69.93,71.13,72.32,74.35,76.26,77.3,78.6,80.63,81.79,84.18,86.62,88.39,90.06,90.3,93.82,95.9,97.77,100,101.33,102.61,104.77,106.25,108.14,110.22,112.09,113.94,114.63,116.47,116.72,119.43,121.22,123.86,125.78,128.16,129.46,131.96,135.27,136.79,138.27,139.31,141.2
Nepal,47.96,48.37,48.94,49.49,50.01,50.92,52.03,52.86,53.9,55.76,57.35,59.85,61.27,63.02,64.92,67.15,69.57,71.64,73.09,75.8,77.79,79.38,82.62,84.72,86.63,87.92,90.84,92.95,96,98.26,100,103.17,107.01,112.41,116,119.83,122.72,126.15,128.03,129.38,132.51,134.77,137.07,133.53,132.25,137.52,136.05,140.61,144.02,150.82,157.6,169.1,173.47,178.88
Pakistan,51.11,51.66,52.77,54.23,55.15,57.21,58.67,59.83,60.39,61.41,63.07,64.7,65.97,67.02,69.57,71.28,73.73,76.02,78.4,79.96,84.07,86.69,85.93,88.46,89.54,91.53,93.55,94.43,96.01,96.53,100,102.14,102.93,104.21,105.59,108.73,112.45,114.53,117.75,120.32,121.1,123.29,126.52,131.77,136.4,140.94,142.63,145.04,148.61,149.81,153.47,154.91,157.91,160.81
Sri Lanka,69.31,69.72,76.26,79.62,79.68,79.59,79.78,81.59,81.55,83.34,84.09,84.16,85.18,88.19,86.7,89.45,89.18,90.21,91.03,92.96,93.82,93.31,94.14,95.45,96.51,95.98,99.3,100.39,101.95,102.17,100,99.44,101.44,103.3,103.58,106.16,106.26,106.41,107.47,106.9,107.85,107.47,109.71,110.33,113.42,115.03,115.47,119.7,117.86,122.08,125.83,124.71,128,128.48
Austria,106.76,109.71,114.54,117.18,116.44,116.47,118.2,116.88,118.63,115.64,118.74,115.97,115.93,110.95,107.27,114.5,113.29,114.35,113.11,113.68,111.39,109.64,110.24,112.12,111.27,103.75,101.41,104.39,99.52,102.73,100,97.46,95.33,94.59,89.92,91.56,92.7,91.29,84.55,84.57,85.45,81.53,79.82,80.73,79.95,78.59,78.22,71.13,70.33,75.17,74.9,74.23,73.86,73.57
Belgium-Luxembourg,109.84,116.19,113.34,112.67,114.31,120.4,121.02,119.19,122.82,121.87,121.26,121.8,120.93,120.22,113.8,113.94,111.99,111.75,103.25,104.45,101.78,106.89,108.35,104.26,106.81,105.61,105.05,104.67,103.6,102.95,100,97.5,93.69,95.57,95.15,94.26,92.96,93.87,94.39,91.1,90.82,90.77,89.2,90.89,86.82,85.89,87.7,81.22,83.82,82.52,81.82,81.35,80.24,79.15
Denmark,108.85,108.56,110.68,115.64,114.99,115.81,114.67,111.68,112.93,114.2,114.83,117.28,119.38,108.73,111.56,112.05,114.16,114.54,115.6,110.29,109.92,108.83,110.3,107.91,105,108.93,104.01,103.35,104.31,103.35,100,97.14,95.25,92.41,90.16,90.08,88.95,86.63,83.38,81.15,78.57,77.24,77.38,76.48,74.17,73.29,73.83,66.09,65.91,65.63,63.75,62.71,61.56,61.24
